term,category,hot_technology
Multichannel microelectrode analyzer MMA,Analytical or scientific software,FALSE
Multidata Computer Systems MultiTech,Medical software,FALSE
Multidimensional Expressions MDX,Data base management system software,FALSE
Multimedia video analysis,Video creation and editing software,FALSE
Multipath Corporation Fast Matrix Solver FMS,Analytical or scientific software,FALSE
Multiple Options Animal Shelter Management,Data base user interface and query software,FALSE
Multiple listing service,Data base user interface and query software,FALSE
Multiple trading transaction,Financial analysis software,FALSE
Multiprotocol Label Switching MPLS,Internet protocol IP multimedia subsystem software,FALSE
Multipurpose Interactive Image Processing System MIIPS,Analytical or scientific software,FALSE
Multisensory data representation,Analytical or scientific software,FALSE
Multitask,Calendar and scheduling software,FALSE
Multivariate Software EQS,Analytical or scientific software,FALSE
Multivariate statistical program MVSP,Analytical or scientific software,FALSE
Multiview Accounts Receivable,Accounting software,FALSE
Muncy Plat Pronto,Map creation software,FALSE
Municipal geographic management,Enterprise resource planning ERP software,FALSE
MuseScore,Music or sound editing software,FALSE
Music Director Pro,Data base user interface and query software,FALSE
Music scheduling,Calendar and scheduling software,FALSE
Music,Music or sound editing software,FALSE
MusicDevelopments RapidComposer,Music or sound editing software,FALSE
MusicGraph,Music or sound editing software,FALSE
Musical Palette,Music or sound editing software,FALSE
Musical instrument digital interface MIDI,Music or sound editing software,FALSE
Musilogic HarmonyBuilder,Music or sound editing software,FALSE
Mutation testing,Program testing software,FALSE
Muthen & Muthen Mplus,Analytical or scientific software,FALSE
Mutual fund analysis,Financial analysis software,FALSE
Mxi Technologies Maintenix,Data base user interface and query software,FALSE
My Clients Plus,Medical software,FALSE
MyCommerce RegNow,Point of sale POS software,FALSE
MyComplianceOffice Compliance Operations Management,Compliance software,FALSE
MyFamilySoftware Instant Architect,Computer aided design CAD software,FALSE
MyFitnessPal,Analytical or scientific software,FALSE
Myers Briggs Type Indicator,Medical software,FALSE
Myriad Software Harmony Assistant,Music or sound editing software,FALSE
Myspace,Web page creation and editing software,FALSE
Mzinga On-Demand Learning Suite,Computer based training software,FALSE
NAMD,Analytical or scientific software,FALSE
NC verification,Computer aided manufacturing CAM software,FALSE
NCAR Command Language NCL,Development environment software,FALSE
NCBI RefSeq,Analytical or scientific software,FALSE
NCG Medical Systems d-Chart,Medical software,FALSE
NCH Software Express Invoice,Billing and invoicing software,FALSE
NCR Advanced Checkout Solution,Point of sale POS software,FALSE
NCR Advanced Store,Point of sale POS software,FALSE
NCR NeighborhoodPOS,Point of sale POS software,FALSE
NCR Teradata Warehouse Miner,Data mining software,FALSE
NCSS,Analytical or scientific software,FALSE
NCSS Power Analysis and Sample Size PASS,Analytical or scientific software,FALSE
NDCMedisoft,Accounting software,FALSE
NEO PI-R,Medical software,FALSE
NIIT Technologies WinRisk,Financial analysis software,FALSE
NIKSUN NetDetector,Network security or virtual private network VPN management software,FALSE
NILS INSource,Compliance software,FALSE
NIWA Tideda,Analytical or scientific software,FALSE
NOAA Shoreline Data Explorer,Route navigation software,FALSE
NOW Solutions emPath,Human resources software,FALSE
NPKTools Comp Analytics,Human resources software,FALSE
NPKTools CompXpert,Human resources software,FALSE
NSF Hospitality Rendezvous Events,Data base user interface and query software,FALSE
NUnit,Program testing software,FALSE
NVDIA Gelato,Graphics or photo imaging software,FALSE
NWChem,Analytical or scientific software,FALSE
Nagios,Network monitoring software,FALSE
Narratek Smartype,Word processing software,FALSE
National Archives online databases,Information retrieval or search software,FALSE
National Association of Realtors Online Database,Data base reporting software,FALSE
National Center for Crisis and Continuity Coordination NC4 E Team,Project management software,FALSE
National Concrete & Masonry Estimator,Project management software,FALSE
National Crime Information Center (NCIC) database,Data base user interface and query software,FALSE
National Driver Register NDR,Data base user interface and query software,FALSE
National Fire Incident Reporting System NFIRS,Data base user interface and query software,FALSE
National Geodetic Survey NGS Geodetic Toolkit,Analytical or scientific software,FALSE
National Geodetic Survey NGS VERTCON,Analytical or scientific software,FALSE
National Geophysical Data Center GEODAS,Analytical or scientific software,FALSE
National Institute for Occupational Safety and Health LaModel,Analytical or scientific software,FALSE
National Institute for Occupational Safety and Health NIOSH Life Table Analysis,Analytical or scientific software,FALSE
National Instruments Compact FieldPoint,Analytical or scientific software,FALSE
National Instruments DAQ Assistant,Analytical or scientific software,FALSE
National Instruments LabVIEW,Development environment software,FALSE
National Instruments Multisim,Computer aided design CAD software,FALSE
National Instruments NI Motion Assistant,Computer aided manufacturing CAM software,FALSE
National Instruments NI Vision Builder for Automated Inspection AI,Analytical or scientific software,FALSE
National Instruments NI-DAQmx,Industrial control software,FALSE
National Instruments TestStand,Development environment software,FALSE
National Instruments Ultiboard,Computer aided design CAD software,FALSE
National Integrated Ballistics Information Network NIBIN,Data base user interface and query software,FALSE
National Land Cover Database NLCD,Data base user interface and query software,FALSE
National Law Enforcement Telecommunications System NLETS,Data base user interface and query software,FALSE
National Library of Medicine DOCLINE,Library software,FALSE
National Library of Medicine Medline,Data base user interface and query software,FALSE
National Resources Conservation Service Ecological Site Information System ESIS,Data base user interface and query software,FALSE
National Resources Conservation Service Grazing Spatial Analysis,Analytical or scientific software,FALSE
National Resources Conservation Service NRCS PEDON Description Program PDP,Data base user interface and query software,FALSE
National Resources Conservation Service NRCS Soils Explorer,Data base user interface and query software,FALSE
National Resources Conservation Service Web Soil Survey WSS,Data base user interface and query software,FALSE
National Soil Information System NASIS,Data base user interface and query software,FALSE
National Union Catalog of Manuscript Collections (NUCMC),Information retrieval or search software,FALSE
National pollutant discharge elimination system NPDES compliance,Compliance software,FALSE
NaturaeMed OfficePro,Medical software,FALSE
NaturoPlus,Medical software,FALSE
Naturopathic Clinic,Medical software,FALSE
Natus NeuroWorks,Medical software,FALSE
NaviMedix NaviNet,Medical software,FALSE
NaviNet Open,Medical software,FALSE
NaviSys Front Office,Enterprise resource planning ERP software,FALSE
Naviance Succeed,Data base user interface and query software,FALSE
Navigation,Route navigation software,FALSE
Navigational chart,Route navigation software,FALSE
NavisWorks Jetstream,Computer aided design CAD software,FALSE
Navzilla,Route navigation software,FALSE
NeTLIMS AutoAP,Medical software,FALSE
NeTLIMS AutoFusion,Medical software,FALSE
NeTLIMS AutoLIMS Core Lab,Medical software,FALSE
Nearpod,Multi-media educational software,FALSE
Nebu Dub InterViewer,Project management software,FALSE
Nedstat Sitestat,Analytical or scientific software,FALSE
Needs analysis,Financial analysis software,FALSE
Neill Technologies SpaBiz,Data base user interface and query software,FALSE
Nemetschek Vectorworks Spotlight,Computer aided design CAD software,FALSE
Neo4j,Data base user interface and query software,FALSE
NeoOffice,Office suite software,FALSE
Neoforma Healthcare Products Information Services HPIS Market Intelligence,Information retrieval or search software,FALSE
Neohapsis Certus GRC,Compliance software,FALSE
Neotec WELLFLO,Analytical or scientific software,FALSE
Net Worth Strategies Stock Opter Pro,Financial analysis software,FALSE
NetDimensions Enterprise Knowledge Platform EKP,Computer based training software,FALSE
NetDocuments,Document management software,FALSE
NetEpi,Analytical or scientific software,FALSE
NetIQ,Administration software,FALSE
NetLims AutoLims,Analytical or scientific software,FALSE
NetPrimer,Analytical or scientific software,FALSE
NetScout InfinitiStream Console,Network monitoring software,FALSE
NetScout Sniffer Global Analyzer,Network monitoring software,FALSE
NetScout Sniffer Portable Professional Analyzer,Network monitoring software,FALSE
NetSoft IntelliPath,Medical software,FALSE
NetSuite ERP,Enterprise resource planning ERP software,FALSE
NetSuite NetCRM,Customer relationship management CRM software,FALSE
NetSuite NetERP,Enterprise resource planning ERP software,FALSE
Netreo OmniCenter,Administration software,FALSE
Netscape Navigator,Internet browser software,FALSE
Netsmart Technologies Avatar Clinical Workstation CWS,Medical software,FALSE
Netsmart Technologies CareNet,Medical software,FALSE
Netsmart Technologies Helper,Medical software,FALSE
Network Analysis SINDA-G,Analytical or scientific software,FALSE
Network Instruments Observer Standard,Network monitoring software,FALSE
Network Science IR Mentor Pro,Analytical or scientific software,FALSE
Network address management,Administration software,FALSE
Network addressable storage NAS,Internet directory services software,FALSE
Network and application load and performance testing,Network monitoring software,FALSE
Network and component performance analysis,Network monitoring software,FALSE
Network and system vulnerability assessment,Network security or virtual private network VPN management software,FALSE
Network architecture design,Requirements analysis and system architecture software,FALSE
Network availability monitoring,Network monitoring software,FALSE
Network bridge,Bridge software,FALSE
Network design,Computer aided design CAD software,FALSE
Network directory services,Internet directory services software,FALSE
Network documentation,Administration software,FALSE
Network flow modeling,Administration software,FALSE
Network intrusion detection,Network security and virtual private network VPN equipment software,FALSE
